onset	duration	trial_type	stimulus_file	sub_category	description	isi_duration	is_attention_check	attention_response
1.532	2.0	Gambling	gambling_7.png	Mobile	ESPN_Bet	7.0	0	n/a
10.049	2.0	Every_day_products	product_20.png	Necessities	Light_Bulb	3.5	0	n/a
15.065	2.0	vmPFC	vmpfc_16.png	Outdoors	Skiing	5.25	0	n/a
21.849	2.0	attention_check	product_12.png	Necessities	Sunscreen	1.75	1	pressed_2
25.133	2.0	vmPFC	vmpfc_3.png	Luxury_Goods	Luxury_pen	1.75	0	n/a
28.416	2.0	Every_day_products	product_29.png	Necessities	Tide_Pen	1.75	0	n/a
31.699	2.0	Every_day_products	product_48.png	Necessities	Soil	1.75	0	n/a
34.982	2.0	Gambling	gambling_30.png	Casino	Coushatta	5.25	0	n/a
41.766	2.0	Every_day_products	product_22.png	Necessities	Puffs_Tissues	1.75	0	n/a
45.066	2.0	Every_day_products	product_24.png	Necessities	Propel_Water_Mix	1.75	0	n/a
48.332	2.0	vmPFC	vmpfc_17.png	Outdoors	Jet_Boil	1.75	0	n/a
51.616	2.0	Every_day_products	product_39.png	Necessities	Wood_Polish	3.5	0	n/a
56.633	2.0	vmPFC	vmpfc_21.png	Amusement	Jolly_Park	5.25	0	n/a
63.399	2.0	vmPFC	vmpfc_36.png	Vacation	Hilton	7.0	0	n/a
71.933	2.0	vmPFC	vmpfc_39.png	Vacation	American_Airlines_Flight	1.75	0	n/a
75.199	2.0	Every_day_products	product_4.png	Necessities	Toilet_Paper	5.25	0	n/a
81.966	2.0	Every_day_products	product_38.png	Necessities	Coffee_Filters	3.5	0	n/a
86.983	2.0	Gambling	gambling_38.png	Casino	Choctaw	1.75	0	n/a
90.283	2.0	attention_check	product_17.png	Necessities	Batteries	3.5	1	pressed_2
95.316	2.0	Gambling	gambling_18.png	Mobile	Evolution_Blackjack	1.75	0	n/a
98.583	2.0	Every_day_products	product_15.png	Necessities	Zyrtec_Allergy_Medicine	5.25	0	n/a
105.35	2.0	Gambling	gambling_1.png	Mobile	BetMGM_Ontario	1.75	0	n/a
108.633	2.0	Every_day_products	product_21.png	Necessities	Cat_Litter	1.75	0	n/a
111.916	2.0	Every_day_products	product_31.png	Necessities	Hydro_Flask	1.75	0	n/a
115.2	2.0	Every_day_products	product_49.png	Necessities	Mower	1.75	0	n/a
118.5	2.0	vmPFC	vmpfc_46.png	Games	Candy_Crush	5.25	0	n/a
125.283	2.0	vmPFC	vmpfc_6.png	Luxury_Goods	Tom_Ford_cologne	7.0	0	n/a
133.817	2.0	Gambling	gambling_2.png	Mobile	Draft_Kings	5.25	0	n/a
140.584	2.0	Every_day_products	product_14.png	Necessities	Hand_Sanitizer	7.0	0	n/a
149.117	2.0	Gambling	gambling_37.png	Casino	Turning_Stone	1.75	0	n/a
152.4	2.0	Gambling	gambling_36.png	Casino	Greektown	1.75	0	n/a
155.667	2.0	Every_day_products	product_7.png	Necessities	Deodorant	3.5	0	n/a
160.7	2.0	Gambling	gambling_23.png	Mobile	Caesar's_Palace_App	1.75	0	n/a
163.984	2.0	Gambling	gambling_5.png	Mobile	theScore	1.75	0	n/a
167.267	2.0	Every_day_products	product_42.png	Necessities	Tape_Measure	3.5	0	n/a
172.3	2.0	Every_day_products	product_33.png	Necessities	Flashlight	3.5	0	n/a
177.334	2.0	missed_trial	vmpfc_25.png	Amusement	Kalahari	1.75	1	no_response
180.617	2.0	vmPFC	vmpfc_18.png	Outdoors	Bass_Pro_Shops	1.75	0	n/a
183.9	2.0	vmPFC	vmpfc_34.png	Vacation	Carnival_Cruise	1.75	0	n/a
187.167	2.0	vmPFC	vmpfc_37.png	Vacation	Wyndham	1.75	0	n/a
190.45	2.0	Gambling	gambling_10.png	Mobile	Draft_Kings_Super_Bowl	3.5	0	n/a
195.483	2.0	vmPFC	vmpfc_14.png	Outdoors	Yosemite	7.0	0	n/a
204.001	2.0	Every_day_products	product_16.png	Necessities	Toilet_Cleaner	1.75	0	n/a
207.301	2.0	Gambling	gambling_11.png	Mobile	Bet365_App	1.75	0	n/a
210.567	2.0	Every_day_products	product_41.png	Necessities	Mattress	1.75	0	n/a
213.867	2.0	Gambling	gambling_8.png	Mobile	High_5_Games	1.75	0	n/a
217.151	2.0	Gambling	gambling_24.png	Mobile	Bet365_Sports	1.75	0	n/a
220.434	2.0	Gambling	gambling_9.png	Mobile	Caesar's	7.0	0	n/a
228.968	2.0	Every_day_products	product_18.png	Necessities	Air_Freshener	1.75	0	n/a
232.234	2.0	Gambling	gambling_33.png	Casino	Hard_Rock_Tampa	3.5	0	n/a
237.268	2.0	Gambling	gambling_27.png	Casino	Hard_Rock	3.5	0	n/a
242.317	2.0	vmPFC	vmpfc_33.png	Vacation	RC_Cruise	3.5	0	n/a
247.351	2.0	Every_day_products	product_9.png	Necessities	Band-aids	5.25	0	n/a
254.151	2.0	Every_day_products	product_6.png	Necessities	Toothpaste	1.75	0	n/a
257.435	2.0	Gambling	gambling_35.png	Casino	MotorCity	1.75	0	n/a
260.734	2.0	missed_trial	gambling_12.png	Mobile	Fanatics_Sportsbook	7.0	1	no_response
269.268	2.0	vmPFC	vmpfc_5.png	Luxury_Goods	Chanel_perfurme	1.75	0	n/a
272.535	2.0	Gambling	gambling_29.png	Casino	Scarlet_Pearl	1.75	0	n/a
275.818	2.0	vmPFC	vmpfc_7.png	Luxury_Goods	Gucci_bag	5.25	0	n/a
282.601	2.0	vmPFC	vmpfc_19.png	Outdoors	Skydiving	5.25	0	n/a
289.368	2.0	vmPFC	vmpfc_8.png	Luxury_Goods	Louis_Vuitton	1.75	0	n/a
292.651	2.0	Gambling	gambling_3.png	Mobile	FanDuel	1.75	0	n/a
295.951	2.0	Gambling	gambling_15.png	Mobile	Evolution	3.5	0	n/a
300.968	2.0	Every_day_products	product_45.png	Necessities	Drain_Cleaner	3.5	0	n/a
305.985	2.0	Every_day_products	product_34.png	Necessities	Sharpie_Pen	7.0	0	n/a
314.518	2.0	vmPFC	vmpfc_20.png	Outdoors	Safari	1.75	0	n/a
317.785	2.0	missed_trial	gambling_19.png	Mobile	Bortaga_App	3.5	1	no_response
322.835	2.0	vmPFC	vmpfc_26.png	Amusement	Wildwoods_NJ	1.75	0	n/a
326.118	2.0	Every_day_products	product_44.png	Necessities	Epsom_Salt	1.75	0	n/a
329.402	2.0	Every_day_products	product_35.png	Necessities	Nivea_Lotion	1.75	0	n/a
332.668	2.0	Every_day_products	product_43.png	Necessities	Bike_Lock	3.5	0	n/a
337.685	2.0	Gambling	gambling_25.png	Mobile	High_5_Casino_App	1.75	0	n/a
340.968	2.0	Gambling	gambling_21.png	Mobile	FanDuel_Super_Bowl	1.75	0	n/a
344.235	2.0	vmPFC	vmpfc_50.png	Games	Rocket_League	3.5	0	n/a
349.269	2.0	Gambling	gambling_13.png	Mobile	BetRivers	3.5	0	n/a
354.302	2.0	Every_day_products	product_30.png	Necessities	Aluminum_Foil	5.25	0	n/a
361.102	2.0	vmPFC	vmpfc_47.png	Games	Clash_of_Clans	3.5	0	n/a
366.136	2.0	vmPFC	vmpfc_15.png	Outdoors	Scuba_diving	1.75	0	n/a
369.419	2.0	Gambling	gambling_14.png	Mobile	Hard_Rock_Bet	3.5	0	n/a
374.452	2.0	vmPFC	vmpfc_4.png	Luxury_Goods	Tiffany_rings	1.75	0	n/a
377.735	2.0	vmPFC	vmpfc_31.png	Vacation	Sandals	1.75	0	n/a
381.002	2.0	Gambling	gambling_28.png	Casino	FoxWoods	1.75	0	n/a
384.269	2.0	vmPFC	vmpfc_38.png	Vacation	Resort	1.75	0	n/a
387.535	2.0	Gambling	gambling_26.png	Casino	Valley_Forge	3.5	0	n/a
392.569	2.0	vmPFC	vmpfc_11.png	Outdoors	Patagonia	5.25	0	n/a
399.352	2.0	Every_day_products	product_46.png	Necessities	Cookware	7.0	0	n/a
407.886	2.0	vmPFC	vmpfc_30.png	Amusement	SeaWorld_(...)	3.5	0	n/a
412.936	2.0	Gambling	gambling_4.png	Mobile	Unibet	1.75	0	n/a
416.236	2.0	vmPFC	vmpfc_22.png	Amusement	Kennywood	5.25	0	n/a
423.036	2.0	missed_trial	vmpfc_35.png	Vacation	Disney/OHANA	3.5	1	no_response
